name,manifestation_type,geothermal_system,id,t_out,pH,ac_carbonate,chloride,sulfate,calcium,magnesium,sodium,potassium,lithium,silica,δ18O-H2O,δD-H2O,T_reservoir
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-2,56.000,6.200,444.000,2120.000,104.000,123.000,21.000,1230.000,141.000,17.000,64.000,9.2,76,209.000
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-3,48.500,6.700,440.000,808.000,91.000,13.000,7.900,580.000,62.000,7.400,72.000,10.2,77,212.000
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-4,45.000,6.400,400.000,1110.000,89.000,43.000,11.000,690.000,75.000,9.200,75.000,9.9,77,205.000
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-5,41.000,6.100,432.000,2000.000,63.000,88.000,22.000,1120.000,129.000,16.000,75.000,8.9,77,211.000
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-6,42.000,6.100,426.000,2220.000,80.000,108.000,22.000,1260.000,137.000,17.000,75.000,9.1,77,208.000
Aguas Calientes del Tuzgle,Thermal spring,Tuzgle-Tocomar,TUC-7,39.000,6.000,418.000,2000.000,71.000,96.000,19.000,1110.000,123.000,15.000,73.000,9.2,76,207.000
Mina Betty,Thermal spring,Tuzgle-Tocomar,M-Be-15,21.000,7.800,182.000,388.600,46.600,55.300,16.500,221.400,26.700,2.060,58.200,,,186.000
Mina Betty,Thermal spring,Tuzgle-Tocomar,MB,20.000,6.700,162.000,347.000,34.000,53.000,15.000,180.000,23.000,2.100,64.000,,,186.000
Laguna La Quinta,Thermal spring,Laguna La Quinta,Q1,53.000,7.000,909.000,6250.000,1240.000,302.000,55.000,4400.000,310.000,7.000,1240.000,6.6,43,196.000
El Idolo (P7),Thermal spring,El Palmar,P7,51.000,7.100,1110.000,553.000,1080.000,141.000,33.000,1030.000,73.000,3.200,87.000,7.5,44,177.000
El Idolo (P8),Thermal spring,El Palmar,P8,49.000,7.200,1120.000,563.000,1060.000,141.000,33.000,1030.000,58.000,3.200,86.000,7.2,44,165.000
El Idolo (P9),Thermal spring,El Palmar,P9,48.000,7.100,1110.000,572.000,1090.000,141.000,33.000,1030.000,63.000,3.300,84.000,7.4,42,168.000
Fuente Roja (P3),Thermal spring,El Palmar,P3,42.000,6.700,6.700,458.000,939.000,135.000,34.000,860.000,55.000,2.600,72.000,7.4,43,169.000
Fuente Verde (P5),Thermal spring,El Palmar,P5,45.000,7.100,7.100,563.000,1020.000,135.000,32.000,1000.000,58.000,3.200,90.000,7.4,44,166.000
Fuente Verde (P6),Thermal spring,El Palmar,P6,45.000,7.200,7.200,553.000,1010.000,135.000,32.000,1000.000,53.000,3.200,85.000,7.5,45,162.000
Baños Troncoso,Thermal spring,Laguna El Maule,TR,32.200,7.720,9.200,181.000,1482.000,589.300,0.820,128.000,2.490,483.000,28.000,,,192.000
Baños Campanario,Bubbling pool,Laguna El Maule,CA,52.600,6.020,501.300,10691.000,621.000,1809.000,80.100,5125.000,330.000,7023.000,76.000,,,120.000
Cajón Grande,Thermal spring,Laguna El Maule,CG,53.100,6.440,354.700,14114.000,1598.000,695.000,120.000,10250.000,156.000,1449.000,110.000,14.7,108.9,120.000
Guanaco,Thermal spring,Laguna El Maule,GU,29.200,6.800,263.100,3216.000,2288.000,578.000,73.900,2700.000,47.000,826.000,23.300,15.4,112.8,120.000
Planchón Peteroa,Thermal spring,Planchón Peteroa,17,24.000,6.950,564.400,8389.900,1177.200,767.900,25.000,3698.000,728.700,3.200,32.100,13.3,96.8,293.000
Planchón Peteroa,Thermal spring,Planchón Peteroa,36,54.500,6.780,518.000,11950.500,628.700,1818.000,98.300,5391.000,328.300,6.700,71.500,13.6,100.6,195.600
Planchón Peteroa,Thermal spring,Planchón Peteroa,39,33.700,9.440,5.500,53.100,151.500,29.800,0.030,57.300,1.300,0.100,30.000,9,58.6,136.900
El Tatio (Chile),Thermal spring,El Tatio,227,85.000,7.400,45.000,8220.000,38.000,280.000,,4600.000,520.000,47.000,256.000,5.5,69,227.000
El Tatio (Chile),Thermal spring,El Tatio,241,85.000,7.400,44.000,7870.000,26.000,278.000,,4320.000,525.000,45.000,280.000,5.7,68,231.000
El Tatio (Chile),Thermal spring,El Tatio,224,85.000,7.200,54.000,6890.000,35.000,244.000,,3860.000,445.000,40.000,207.000,6,68,226.000
El Tatio (Chile),Thermal spring,El Tatio,195,86.000,7.700,68.000,6280.000,29.000,239.000,,3440.000,360.000,34.000,125.000,6,66,218.000
El Tatio (Chile),Thermal spring,El Tatio,146,86.000,7.700,74.000,6190.000,35.000,249.000,,3500.000,306.000,35.000,126.000,6,65,206.000
El Tatio (Chile),Thermal spring,El Tatio,96,86.000,7.300,46.000,5840.000,46.000,248.000,,3460.000,170.000,32.000,180.000,6.2,66,174.000
El Tatio (Chile),Thermal spring,El Tatio,202,86.000,7.300,71.000,5630.000,37.000,218.000,,3140.000,336.000,33.000,137.000,6.2,65,218.000
El Tatio (Chile),Thermal spring,El Tatio,112,86.000,7.600,69.000,5560.000,35.000,236.000,,3200.000,235.000,30.000,130.000,6.1,68,195.000
El Tatio (Chile),Thermal spring,El Tatio,56,85.000,7.600,87.000,5380.000,46.000,232.000,,3060.000,150.000,27.000,207.000,6.1,64,172.000
El Tatio (Chile),Thermal spring,El Tatio,319,83.000,6.300,65.000,5370.000,22.000,171.000,,3000.000,367.000,27.000,149.000,6,67,229.000
El Tatio (Chile),Thermal spring,El Tatio,65,86.000,6.700,96.000,5240.000,42.000,225.000,,2880.000,145.000,28.000,177.000,6.5,67,173.000
El Tatio (Chile),Thermal spring,El Tatio,132,79.000,6.500,92.000,4970.000,45.000,208.000,,2820.000,175.000,27.000,181.000,6.9,67,184.000
El Tatio (Chile),Thermal spring,El Tatio,246,64.000,6.200,168.000,4310.000,46.000,160.000,,2360.000,235.000,21.000,161.000,7.1,63,211.000
El Tatio (Chile),Thermal spring,El Tatio,7,84.000,7.300,288.000,4210.000,62.000,147.000,,2560.000,230.000,24.000,258.000,7.2,66,207.000
El Tatio (Chile),Thermal spring,El Tatio,181,85.000,6.900,118.000,4010.000,36.000,170.000,,2250.000,230.000,,122.000,7,64,211.000
El Tatio (Chile),Thermal spring,El Tatio,215,73.000,6.600,138.000,3120.000,44.000,129.000,,1810.000,195.000,,150.000,7.5,61,213.000
El Tatio (Chile),Thermal spring,El Tatio,281,37.000,3.200,0.000,2790.000,171.000,90.000,,1570.000,200.000,16.000,176.000,7.5,61,224.000
El Tatio (Chile),Thermal spring,El Tatio,3,80.000,6.700,242.000,1830.000,78.000,113.000,,1080.000,103.000,11.000,218.000,7.8,61,196.000
El Tatio (Chile),Thermal spring,El Tatio,255,40.000,7.210,239.000,1190.000,58.000,48.000,,760.000,82.000,8.000,150.000,8.3,61,205.000
El Tatio (Chile),Thermal spring,El Tatio,NE,58.000,6.900,360.000,950.000,30.000,59.000,,604.000,68.000,6.000,149.000,8.4,62,201.000
El Tatio (Chile),Thermal spring,El Tatio,A9,55.000,8.200,872.000,760.000,5.000,28.000,,540.000,64.000,4.000,188.000,8.4,57,209.000
El Tatio (Chile),Bubbling pool,El Tatio,1,73.600,6.010,,7622.000,42.700,259.000,0.430,4338.000,501.000,33.500,169.000,3.9,67.4,232.000
El Tatio (Chile),Geyser,El Tatio,2,73.500,6.390,,7810.000,44.200,235.000,0.640,4322.000,477.000,34.300,184.000,4.71,70.1,228.000
El Tatio (Chile),Bubbling pool,El Tatio,4,74.400,7.140,,7810.000,43.100,231.000,0.220,4404.000,542.000,34.000,188.000,4.9,69.9,237.000
El Tatio (Chile),Geyser,El Tatio,5,73.400,7.330,,7899.000,42.900,227.000,0.750,4345.000,519.000,32.600,205.000,5.03,71.8,235.000
El Tatio (Chile),Geyser,El Tatio,6,74.800,6.970,,7891.000,42.500,242.000,0.640,4459.000,595.000,32.500,198.000,4.6,71.2,245.000
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP01,95.400,7.200,179.000,429.980,77.220,2.140,0.070,396.000,27.510,1542.200,392.200,7.38,64.59,262.000
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP03,95.400,8.300,101.900,416.730,75.790,1.880,0.070,423.500,27.510,1401.600,412.700,7.57,67.11,256.300
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP05,95.400,7.800,99.200,395.180,87.540,2.730,0.070,390.500,23.210,1561.500,369.300,6.45,61.48,248.600
Alpehue (Chile),Thermal spring,Alpehue-Sollipulli Volcano,ALP07,95.400,8.600,110.100,385.190,385.190,1.430,0.070,372.000,23.150,1485.900,372.900,7.38,62.87,252.600
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT01,87.700,5.610,228.000,2700.000,135.000,34.000,2.500,1600.000,197.000,13.000,146.000,10.24,95.18,249.474
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT02,87.200,6.160,186.000,2675.000,140.000,30.000,1.500,1575.000,197.000,13.000,140.000,10.23,96.52,250.822
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT03,77.600,6.310,198.000,2850.000,145.000,19.000,0.500,1706.000,219.000,14.000,134.000,9,92.93,253.059
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT04,51.300,5.900,271.000,2710.000,125.000,47.000,0.500,1700.000,214.000,13.000,140.000,9.11,90.01,251.371
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT05,79.600,6.360,250.000,2900.000,130.000,45.000,0.500,1812.000,158.000,15.000,136.000,9,95.22,221.600
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT06,77.300,6.220,253.000,2650.000,130.000,40.000,0.500,1585.000,177.000,13.000,139.000,8.72,93.82,241.273
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT07,86.900,6.060,328.000,1684.000,71.000,57.000,1.200,1090.000,102.000,9.000,140.000,11.42,100.6,227.061
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT08,84.000,7.030,210.000,2405.000,103.000,22.000,0.200,1694.000,188.000,12.000,150.000,8.04,96.81,240.760
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT09,74.900,6.540,84.000,2277.000,71.000,70.000,3.000,1300.000,92.000,9.000,140.000,10.37,98.78,206.135
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT10,81.800,6.850,167.000,3323.000,89.000,58.000,0.200,2170.000,207.000,15.000,138.000,8.64,93.8,228.566
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT11,73.500,5.160,22.000,2496.000,219.000,69.000,0.200,1660.000,144.000,15.000,139.000,5.36,87.76,221.205
Puchuldiza-Tuja (Chile),Thermal spring,Puchuldiza-Tuja,PT12,87.300,1.760,0.000,2444.000,119.000,64.000,0.400,1731.000,147.000,12.000,135.000,7.89,98.56,219.587
El Tatio (Chile),Thermal spring,El Tatio,ET01,87.600,5.350,26.000,5100.000,30.000,177.000,1.000,2650.000,395.000,30.000,,10.37,98.78,266.310
El Tatio (Chile),Thermal spring,El Tatio,ET02,87.900,6.480,89.000,4650.000,40.000,202.000,4.500,2575.000,152.000,26.000,,7.89,98.56,193.460
El Tatio (Chile),Thermal spring,El Tatio,ET03,82.800,5.310,32.000,6500.000,61.000,267.000,2.100,3390.000,182.000,36.000,188.000,3.12,63.29,187.095
El Tatio (Chile),Thermal spring,El Tatio,ET04,84.800,5.840,43.000,5400.000,170.000,204.000,1.500,3240.000,335.000,37.000,186.000,5.8,70.73,234.984
El Tatio (Chile),Thermal spring,El Tatio,ET05,85.100,5.750,43.000,5400.000,170.000,204.000,1.500,3240.000,335.000,37.000,180.000,5.8,70.73,234.984
El Tatio (Chile),Thermal spring,El Tatio,ET06,87.800,7.200,64.000,5750.000,42.500,215.000,0.700,3230.000,336.000,39.000,192.000,5.41,68.19,235.474
Baños Las Calerías,Thermal spring,Tinguiririca,28,61.000,6.300,830.000,3590.000,1620.000,730.000,39.000,2360.000,203.000,10.000,,13.3,106,220.000
Termas del Flaco 1,Bubbling pool,Tinguiririca,32,63.700,6.900,170.000,1801.000,288.000,139.000,5.900,1182.000,128.000,3.900,,12.2,95.1,238.000
Termas del Flaco 2,Bubbling pool,Tinguiririca,33,89.400,6.900,183.000,1652.000,287.000,135.000,5.200,1135.000,119.000,4.300,,11.5,91.1,240.000
Termas de San Pedro,Thermal spring,El Maule,34,24.000,7.100,564.000,8390.000,1177.000,768.000,25.000,3698.000,729.000,3.100,,13.3,96.8,290.000
Barro Colorado 1,Thermal spring,El Tatio,39,75.000,7.400,245.000,1244.000,106.000,80.000,6.300,860.000,67.000,1.900,,12.8,94.4,215.000
Termas del Campanario 1,Bubbling pool,El Maule,49,45.700,6.300,517.000,12.061,508.000,1925.000,85.000,5335.000,340.000,17.000,,13.6,101,200.000
El Tatio (Chile),Well,El Tatio,T1,211.000,6.800,21.000,5820.000,47.000,196.000,,3340.000,310.000,23.000,293.000,6,73,211.000
El Tatio (Chile),Well,El Tatio,T2,227.000,6.800,35.000,6020.000,33.000,197.000,,3430.000,431.000,28.000,298.000,6.3,78,227.000
El Tatio (Chile),Well,El Tatio,T3,253.000,6.600,9.000,4490.000,44.000,198.000,,2570.000,127.000,21.000,173.000,6.8,75,253.000
El Tatio (Chile),Well,El Tatio,T4,220.000,6.700,59.000,5650.000,45.000,167.000,,3430.000,148.000,20.000,246.000,6.6,77,229.000
El Tatio (Chile),Well,El Tatio,T5,212.000,6.700,48.000,6690.000,34.000,219.000,,3760.000,519.000,32.000,343.000,5.6,72,212.000
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-1,25.000,6.980,22.900,7160.000,24.700,206.000,0.042,4060.000,704.000,42.600,784.000,9.41,88.6,249.000
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-2,52.000,7.120,30.700,7100.000,28.900,192.000,0.027,4080.000,697.000,41.400,1330.000,10.15,91.8,250.000
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-3,124.000,4.320,2.000,7500.000,30.500,219.000,0.100,4310.000,720.000,44.500,619.000,6.51,82.1,247.000
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-4,67.000,6.140,18.533,7253.333,28.033,205.667,0.056,4150.000,707.000,42.833,911.000,8.69,87.5,245.000
Sol de Mañana (Bolivia),Well,Sol de Mañana-Laguna Colorada,SM-5,67.000,6.140,18.533,7253.333,28.033,205.667,0.056,4150.000,707.000,42.833,911.000,8.69,87.5,248.000
Apacheta (Bolivia),Well,Sol de Mañana-Laguna Colorada,AP-1,67.000,6.140,18.533,7253.333,28.033,205.667,0.056,4150.000,707.000,42.833,911.000,8.69,87.5,245.000
